title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats
BMW X1,7995,75405,2011,,Diesel,SUV,2.0L,Automatic,5,5
Toyota Aygo,3895,53700,2013,2,Petrol,Hatchback,1.0L,Manual,5,4
Citroen C3,7999,56425,2017,2,Petrol,Hatchback,1.2L,Manual,5,5
Land Rover Range Rover Sport,12490,54000,2010,,Diesel,SUV,3.0L,Automatic,5,5
Vauxhall Astra,4495,92300,2013,,Diesel,Estate,2.0L,Automatic,5,5
KIA Sorento,1795,125000,2005,4,Diesel,SUV,2.5L,Manual,5,5
Peugeot 308,2495,107000,2012,2,Diesel,Hatchback,1.6L,Manual,5,5
Peugeot 207 CC,2000,68000,2009,,Petrol,Convertible,1.6L,Manual,2,4
Peugeot 407,995,144100,2007,4,Diesel,Saloon,2.0L,Manual,4,5
Vauxhall Corsa,2995,79011,2007,,Petrol,Hatchback,1.4L,Manual,3,5
Audi A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5
Chevrolet Captiva,5999,71512,2012,2,Diesel,SUV,2.2L,Automatic,5,7
Toyota Aygo,3950,17000,2014,,Petrol,Hatchback,1.0L,Manual,3,4
Ford Fiesta,7780,51700,2016,2,Petrol,Hatchback,1.0L,Manual,3,5
Renault Clio,2499,104858,2010,,Diesel,Estate,1.5L,Manual,5,5
Toyota Aygo,3290,73001,2012,3,Petrol,Hatchback,1.0L,Manual,3,4
BMW 3 Series,3450,131000,2005,7,Diesel,Estate,2.0L,Automatic,5,5
Volkswagen Polo,6495,95555,2015,2,Petrol,Hatchback,1.2L,Manual,3,5
Jaguar XF,8995,125000,2015,3,Diesel,Estate,2.2L,Automatic,5,5
Nissan Qashqai,5995,94900,2015,4,Diesel,SUV,1.5L,Manual,5,5
Volkswagen Polo,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Corsa,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
BMW 3 SERIES,12800,57000,2016,2,Diesel,Saloon,2.0L,Manual,4,5
Audi A3,6250,81000,2011,4,Diesel,Hatchback,2.0L,Manual,3,5
Peugeot 308,1995,98885,2010,,Petrol,Convertible,1.6L,Manual,2,4
Vauxhall Zafira,1800,120000,2010,5,Diesel,MPV,1.9L,Automatic,5,7
Suzuki Grand Vitara,6495,24629,2011,3,Petrol,SUV,1.6L,Manual,3,5
Mercedes-Benz CLK,2699,77000,2004,2,Petrol,Coupe,1.8L,Automatic,2,4
KIA RIO,4200,55635,2012,4,Petrol,Hatchback,1.4L,Manual,5,5
Mercedes-Benz B Class,9870,25224,2014,1,Diesel,MPV,1.5L,Manual,5,5
Vauxhall Astra,4993,116000,2017,3,Diesel,Estate,1.6L,Manual,5,5
Hyundai i30,1998,110000,2008,,Diesel,Hatchback,2.0L,Manual,5,5
Subaru Impreza,2395,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Vauxhall Corsa,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5
Hyundai I10,3990,50562,2012,2,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Corsa,6700,34685,2017,2,Petrol,Hatchback,1.4L,Manual,3,5
Mazda CX-3,8495,55400,2015,3,Diesel,SUV,1.5L,Manual,5,5
SEAT Ibiza,1795,49377,2007,,Petrol,Hatchback,1.4L,Manual,5,5
BMW X1,8495,70876,2014,,Diesel,SUV,2.0L,Manual,5,5
Ford Mondeo,5675,80000,2013,3,Diesel,Hatchback,2.0L,Manual,5,5
Ford Focus,11225,57727,2017,2,Petrol,Hatchback,1.0L,Automatic,5,5
Hyundai i10,2495,68100,2011,5,Petrol,Hatchback,1.2L,Manual,5,5
Ford Focus,4785,66436,2011,1,Petrol,Hatchback,1.6L,Manual,5,5
Toyota Verso,8995,71504,2015,,Diesel,MPV,1.6L,Manual,5,7
Volvo V70,795,274100,2004,6,Petrol,Estate,2.4L,Automatic,5,5
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Fiat 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4
Renault Captur,5498,50600,2014,2,Petrol,SUV,0.9L,Manual,5,5
Fiat 500C,5750,67601,2010,,Petrol,Convertible,1.4L,Automatic,2,4
Ford Mondeo,2445,123000,2008,5,Diesel,Hatchback,2.0L,Manual,5,5
Volkswagen Golf,2550,69354,2004,,Petrol,Hatchback,1.6L,Manual,5,5
Audi Q7,7499,144000,2011,3,Diesel,SUV,3.0L,Automatic,5,7
Citroen C3,7970,76000,2019,1,Petrol,Hatchback,1.2L,Manual,5,5
MINI Clubman,6700,64000,2012,,Diesel,Estate,1.6L,Manual,5,5
BMW X1,4895,105000,2011,2,Diesel,SUV,2.0L,Manual,5,5
BMW 3 Series,6390,92080,2013,2,Diesel,Convertible,2.0L,Manual,2,4
Vauxhall Astra,1495,108257,2007,,Petrol,Hatchback,1.6L,Manual,5,5
Volvo V70,795,274100,2004,6,Petrol,Estate,2.4L,Automatic,5,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Ford Focus,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5
Volkswagen Tiguan,14250,71396,2018,1,Diesel,SUV,2.0L,Manual,5,5
BMW X1,6850,90000,2013,7,Diesel,SUV,2.0L,Manual,5,5
Mercedes-Benz A Class,9250,79500,2015,2,Diesel,Hatchback,1.5L,Automatic,5,5
Vauxhall Corsa,3495,25857,2007,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Antara,3240,86101,2013,3,Diesel,SUV,2.2L,Automatic,5,5
BMW 3 Series,9995,54000,2013,,Diesel,Saloon,2.0L,Automatic,4,5
Jaguar XF,7749,68085,2013,2,Diesel,Saloon,2.2L,Automatic,4,5
Honda Civic,9395,109000,2018,2,Diesel,Hatchback,1.6L,Manual,5,5
Jaguar XJ,8000,95000,2011,5,Diesel,Saloon,3.0L,Automatic,,5
Ford Fiesta,2695,146000,2008,4,Petrol,Hatchback,2.0L,Manual,3,5
Vauxhall Astra,2500,136842,2014,1,Diesel,Estate,1.6L,Manual,5,5
Ford Focus,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Fiat 500,6990,32000,2015,,Petrol,Hatchback,0.9L,Manual,3,4
Peugeot 107,1995,97100,2010,5,Petrol,Hatchback,1.0L,Manual,5,4
Mercedes-Benz C Class,1195,167794,2007,,Diesel,Coupe,2.1L,Automatic,2,4
Ford Fiesta,2495,47530,2008,,Petrol,Hatchback,1.3L,Manual,3,5
Mercedes-Benz C Class,5970,102943,2014,3,Diesel,Saloon,2.1L,Automatic,4,5
Hyundai i40,6860,60000,2015,,Diesel,Estate,1.7L,Manual,5,5
BMW 3 SERIES,4695,82600,2010,3,Diesel,Saloon,2.0L,Manual,4,5
Vauxhall Meriva,5777,45000,2015,,Petrol,MPV,1.4L,Manual,5,5
Vauxhall Zafira,3995,79980,2010,2,Diesel,MPV,1.9L,Automatic,5,7
Vauxhall Antara,7495,29000,2014,,Diesel,SUV,2.2L,Manual,5,5
Volkswagen Polo,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
KIA Sportage,6500,98198,2016,2,Diesel,SUV,1.7L,Manual,5,5
MINI Hatch,9695,33465,2017,2,Diesel,Hatchback,1.5L,Manual,3,4
BMW 3 Series,6295,137920,2014,2,Diesel,Estate,2.0L,Manual,5,5
Toyota IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4
Jaguar S-type,2667,88523,2003,,Petrol,Saloon,3.0L,Automatic,4,5
Fiat 500,4995,52505,2013,,Petrol,Hatchback,1.2L,Manual,3,4
Nissan Micra,8700,30666,2018,3,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen Passat,11480,44006,2015,3,Diesel,Saloon,2.0L,Automatic,4,5
Land Rover Freelander 2,4495,148000,2011,4,Diesel,SUV,2.2L,Manual,5,5
Vauxhall Grandland X,11440,67748,2018,,Petrol,SUV,1.2L,Manual,5,5
Volkswagen Polo,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
Audi A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5
Ford Fiesta,10995,59800,2017,3,Petrol,Hatchback,1.0L,Manual,3,5
Ford Focus CC,2495,68272,2007,,Petrol,Convertible,2.0L,Manual,2,4
Smart Forfour,5595,51000,2016,4,Petrol,Hatchback,1.0L,Manual,5,4
Toyota Avensis,7989,98235,2018,2,Diesel,Saloon,1.6L,Manual,4,5
Volkswagen Golf,8650,100000,2015,2,Diesel,Hatchback,2.0L,Manual,5,5
Audi A6 Saloon,5995,94000,2011,4,Diesel,Saloon,2.0L,Manual,4,5
Vauxhall Corsa,2995,79011,2007,,Petrol,Hatchback,1.4L,Manual,3,5
Honda Civic,4550,76680,2010,1,Petrol,Hatchback,1.4L,Manual,5,5
Jeep Grand Cherokee,2995,125000,2008,4,Diesel,SUV,3.0L,Automatic,5,5
Volkswagen Polo,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Corsa,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Nissan Micra,2495,81025,2009,,Petrol,Hatchback,1.2L,Manual,3,5
Alfa Romeo Giulietta,3995,90851,2011,,Petrol,Hatchback,1.4L,Manual,5,5
Audi A6,16995,66229,2017,1,Diesel,Saloon,2.0L,Automatic,4,5
Hyundai i30,10750,39406,2017,,Petrol,Hatchback,1.4L,Manual,5,5
SEAT Ibiza,5249,65946,2013,2,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Corsa,5100,49954,2013,,Petrol,Hatchback,1.4L,Manual,3,5
BMW 5 Series,4999,140000,2012,3,Diesel,Estate,2.0L,Manual,5,5
Mercedes-Benz A Class,7777,82000,2015,,Diesel,Hatchback,1.5L,Manual,5,5
Vauxhall Corsa,8500,27500,2016,2,Petrol,Hatchback,1.0L,Manual,3,5
Mitsubishi Lancer,4500,76988,2011,2,Petrol,Hatchback,1.8L,Manual,5,5
Renault Clio,1990,120863,2012,,Petrol,Hatchback,1.1L,Manual,3,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Fiat 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4
MG ZT,15500,6,2004,4,Petrol,Saloon,1.8L,Manual,4,5
BMW X3,5595,96541,2009,1,Diesel,SUV,2.0L,Automatic,5,5
Nissan Juke,13998,20194,2020,,Petrol,SUV,1.0L,Manual,5,5
BMW X1,10500,82000,2014,,Diesel,SUV,2.0L,Automatic,5,5
KIA Sportage,6895,82000,2013,3,Diesel,SUV,1.7L,Manual,5,5
Toyota Yaris,2895,98172,2008,3,Petrol,Hatchback,1.3L,Manual,5,5
Volkswagen Passat,6995,140735,2015,2,Diesel,Estate,2.0L,Manual,5,5
Vauxhall Corsa,3695,84000,2013,3,Petrol,Hatchback,1.2L,Manual,5,5
BMW X6,16000,63000,2014,,Diesel,SUV,3.0L,Automatic,5,4
Audi A3,5750,139225,2012,3,Diesel,Hatchback,,Automatic,,
Subaru Impreza,2395,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5
Ford Focus,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Proton Proton,3995,15760,1995,,Petrol,Hatchback,1.5L,Manual,5,
BMW 2 Series,13444,78000,2014,,Diesel,Coupe,2.0L,Automatic,2,4
Ford Fiesta,4950,71898,2014,2,Petrol,Hatchback,1.0L,Manual,3,5
Volkswagen Polo,2995,68000,2008,5,Petrol,Hatchback,1.2L,Manual,3,5
Volkswagen Touran,4000,144000,2012,3,Diesel,MPV,1.6L,Manual,5,7
BMW 3 Series,11750,94000,2015,,Diesel,Saloon,2.0L,Manual,4,5
KIA RIO,6995,84000,2017,2,Diesel,Hatchback,1.4L,Manual,5,5
MINI Hatch,4995,106289,2011,1,Petrol,Hatchback,1.6L,Manual,3,4
Ford Fiesta,3495,77900,2009,7,Diesel,Hatchback,1.4L,Manual,5,5
Vauxhall Vectra,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Toyota IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4
Honda Jazz,5395,50213,2011,2,Petrol,Hatchback,1.3L,Manual,5,5
Vauxhall Corsa,1995,69400,2006,,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 2008,5995,46107,2014,,Diesel,SUV,1.4L,Manual,5,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Peugeot 3008,17990,9669,2019,1,Diesel,SUV,1.5L,Manual,5,5
Mercedes-Benz SLK,3295,93000,2007,5,Petrol,Convertible,1.8L,Automatic,2,2
Volkswagen Polo Hatchback,8175,60800,2015,2,Petrol,Hatchback,1.0L,Manual,5,5
Abarth Fiat 595 1.4 Tjet (165ps) Scorpioneoro,17000,17670,2020,1,Petrol,Hatchback,1.4L,Manual,3,4
Citroen C3,8290,60000,2017,,Diesel,Hatchback,1.6L,Manual,5,5
Ford C-max,3895,104000,2013,,Diesel,MPV,1.6L,Manual,5,5
Volvo V70,795,274100,2004,6,Petrol,Estate,2.4L,Automatic,5,5
Toyota IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4
Vauxhall Corsa,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5
BMW X1,7495,67000,2010,3,Diesel,SUV,2.0L,Automatic,5,5
Nissan Micra,3150,43500,2015,,Petrol,Hatchback,1.2L,Manual,5,5
Ford Focus,6990,47000,2012,,Petrol,Hatchback,1.0L,Manual,5,5
Ford Focus,3995,102000,2013,2,Diesel,Estate,1.6L,Manual,5,5
Nissan Micra,1695,96000,2005,3,Petrol,Hatchback,1.2L,Manual,3,5
Jaguar XE,11995,72000,2016,,Petrol,Saloon,2.0L,Automatic,4,5
Vauxhall Insignia,7637,84800,2016,,Diesel,Hatchback,2.0L,Manual,5,5
MINI Hatch Cooper,7490,82250,2014,,Petrol,Hatchback,1.5L,Manual,3,4
Dacia Sandero Stepway,5495,48000,2016,,Petrol,Hatchback,0.9L,Manual,5,5
SEAT Leon,7295,51733,2014,3,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Vectra,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5
Vauxhall Corsa,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Mercedes-Benz E Class,9949,74854,2014,,Diesel,Saloon,2.1L,Automatic,4,5
Jaguar X-type,1650,102000,2008,3,Diesel,Saloon,2.0L,Manual,4,5
Toyota Auris,3500,67995,2008,2,Petrol,Hatchback,1.4L,Manual,5,5
Ford Fiesta,5234,56883,2011,3,Diesel,Hatchback,1.6L,Manual,3,5
BMW 1 Series,8099,58214,2014,,Petrol,Hatchback,1.6L,Manual,5,5
Toyota Yaris,2395,92000,2006,,Petrol,Hatchback,1.0L,Manual,5,5
Ford Focus,10195,60650,2019,1,Petrol,Hatchback,1.0L,Manual,5,5
Nissan Micra,8079,55390,2017,,Petrol,Hatchback,1.0L,Manual,5,5
Vauxhall Astra GTC,3295,116000,2014,2,Diesel,Coupe,2.0L,Manual,3,5
Vauxhall Vectra,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5
Toyota IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
BMW 1 Series,14695,54000,2019,1,Diesel,Hatchback,1.5L,Manual,5,5
Hyundai ix35,6490,93000,2014,3,Diesel,SUV,1.7L,Manual,5,5
Volvo V60,8495,72000,2014,,Diesel,Estate,1.6L,Manual,5,5
BMW 4 Series Gran Coupe,12950,77600,2014,4,Diesel,Hatchback,2.0L,Manual,5,5
KIA Stonic,18750,12875,2022,,Petrol Hybrid,SUV,1.0L,Manual,5,5
Toyota Verso,5395,60582,2012,,Diesel,MPV,2.0L,Manual,5,7
BMW 1 Series,5500,118000,2010,4,Diesel,Hatchback,2.0L,Manual,5,5
Suzuki Alto,2495,83000,2014,1,Petrol,Hatchback,1.0L,Manual,5,4
Land Rover Freelander 2,2875,143000,2007,5,Diesel,SUV,2.2L,Manual,5,5
Audi A6,10995,72894,2012,2,Diesel,Saloon,3.0L,Automatic,4,5
Ford Fiesta,2490,42800,2007,,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Audi A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5
Toyota Prius+,9495,55000,2012,1,Petrol Hybrid,MPV,1.8L,Automatic,5,7
SKODA Fabia,2499,79972,2006,1,Petrol,Hatchback,1.2L,Manual,5,5
Toyota Yaris,3550,95200,2006,5,Diesel,Hatchback,1.4L,Automatic,5,5
Land Rover Freelander 2,7547,122000,2012,3,Diesel,SUV,2.2L,Automatic,5,5
Peugeot RCZ,8990,46284,2014,,Petrol,Coupe,1.6L,Automatic,2,4
Peugeot 207,2950,59000,2012,2,Petrol,Hatchback,1.4L,Manual,3,5
Mercedes-Benz E Class,9490,32000,2011,,Diesel,Saloon,2.1L,Automatic,4,5
KIA Proceed,5995,77570,2014,4,Diesel,Hatchback,1.6L,Manual,3,5
Vauxhall Astra,4495,81222,2011,,Diesel,Hatchback,2.0L,Automatic,5,5
Volkswagen Scirocco,5695,108582,2011,,Diesel,Hatchback,2.0L,Manual,3,4
Ford Focus,1499,113187,2008,2,Petrol,Hatchback,1.6L,Manual,5,5
Audi A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5
Toyota Yaris,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5
Suzuki Alto,3995,45000,2014,2,Petrol,Hatchback,1.0L,Manual,5,4
Toyota Yaris,2395,85693,2008,,Petrol,Hatchback,1.0L,Manual,3,5
Mercedes-Benz C Class,8990,50000,2011,5,Diesel,Coupe,2.1L,Automatic,2,4
Audi A6 Avant,3290,139142,2007,5,Diesel,Estate,3.0L,Automatic,5,5
Renault Clio,6495,53000,2014,,Diesel,Hatchback,1.5L,Manual,5,5
Chevrolet Spark,2495,85556,2011,,Petrol,Hatchback,1.2L,Manual,5,5
Hyundai i30,6250,83650,2015,2,Petrol,Hatchback,1.4L,Manual,5,5
BMW 3 Series,9800,67000,2011,5,Petrol,Saloon,2.0L,Automatic,4,5
Honda Civic,3695,113000,2009,4,Petrol,Hatchback,2.0L,Manual,3,4
DS Automobiles DS 7 CROSSBACK,14900,94000,2018,2,Diesel,SUV,2.0L,Automatic,5,5
Subaru Impreza,2395,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Ford Focus,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5
Mercedes-Benz A Class,10975,37334,2015,,Diesel,Hatchback,1.5L,Manual,5,5
Ford C-max,7390,46760,2014,,Diesel,MPV,1.6L,Manual,5,5
Ford Ecosport,5990,96600,2016,2,Petrol,SUV,1.0L,Manual,5,5
Land Rover Range Rover Sport,3999,132000,2007,,Diesel,SUV,2.7L,Automatic,5,5
Hyundai Getz,1895,75290,2006,,Petrol,Hatchback,1.4L,Manual,3,5
Ford KA,3300,89390,2014,4,Petrol,Hatchback,1.2L,Manual,3,4
Vauxhall Astra,3950,90000,2013,4,Diesel,Estate,1.7L,Manual,5,5
Mercedes-Benz A Class,8595,93000,2015,,Diesel,Hatchback,1.5L,Manual,5,5
MINI Hatch,5195,46000,2010,,Petrol,Hatchback,1.6L,Manual,3,4
Toyota Yaris,6150,65414,2014,,Petrol,Hatchback,1.3L,Manual,5,5
Peugeot 407,995,144100,2007,4,Diesel,Saloon,2.0L,Manual,4,5
Ford Focus,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5
Vauxhall Astra,2995,61038,2007,,Petrol,Hatchback,1.6L,Manual,3,5
Vauxhall Meriva,4295,94000,2014,,Petrol,MPV,1.4L,Manual,5,5
Fiat 500,6970,49485,2017,,Petrol,Hatchback,1.2L,Manual,3,4
Mazda MAZDA 2,6950,64818,2016,2,Petrol,Hatchback,1.5L,Manual,5,5
Nissan Juke,7470,58277,2014,2,Petrol,SUV,1.6L,Manual,5,5
Mazda CX-5,7495,73000,2012,2,Diesel,SUV,2.2L,Manual,5,5
Volkswagen Polo,5950,71000,2013,2,Petrol,Hatchback,1.4L,Manual,3,5
Peugeot 2008,15990,40800,2021,1,Petrol,SUV,1.2L,Manual,5,5
Ford Focus,4670,74717,2012,5,Petrol,Hatchback,1.0L,Manual,5,5
Toyota Prius,8950,66000,2012,,Petrol Hybrid,Hatchback,,Automatic,,
Volkswagen Polo,6750,54500,2012,2,Petrol,Hatchback,1.4L,Manual,3,5
Vauxhall Astra,2500,136842,2014,1,Diesel,Estate,1.6L,Manual,5,5
Vauxhall Astra,2995,61038,2007,,Petrol,Hatchback,1.6L,Manual,3,5
Audi A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5
BMW X5,4450,135000,2004,1,Diesel,SUV,3.0L,Automatic,5,5
BMW 5 Series,9490,51000,2012,,Diesel,Saloon,2.0L,Automatic,4,5
Ford Mondeo,3995,83000,2011,,Petrol,Hatchback,2.0L,Manual,5,5
Hyundai i40,6495,87000,2013,5,Diesel,Estate,1.7L,Automatic,5,5
Land Rover Freelander 2,7250,106000,2012,5,Diesel,SUV,2.2L,Manual,5,5
Fiat Panda,1700,94000,2009,3,Petrol,Hatchback,1.2L,Manual,5,4
Audi A3,9850,90000,2014,2,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Insignia,3995,119000,2015,,Diesel,Hatchback,2.0L,Manual,5,5
Volkswagen Jetta,7350,39488,2013,2,Diesel,Saloon,1.6L,Manual,4,5
BMW 4 Series,10495,70950,2013,,Diesel,Coupe,2.0L,Automatic,2,4
Renault Clio,1990,120863,2012,,Petrol,Hatchback,1.1L,Manual,3,5
Audi A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
Toyota Yaris,7000,55000,2014,2,Petrol,Hatchback,1.3L,Manual,5,5
BMW 3 SERIES,9850,83000,2013,,Diesel,Saloon,2.0L,Automatic,4,5
Mercedes-Benz E Class,8500,111000,2015,3,Diesel,Coupe,2.1L,Automatic,2,4
MINI Hatch Cooper,7760,58000,2013,,Petrol,Hatchback,1.6L,Manual,3,4
Volkswagen Golf,11995,79000,2020,1,Petrol,Hatchback,1.5L,Manual,5,5
Toyota Yaris,1895,77000,2002,,Petrol,Hatchback,1.0L,Manual,5,5
Vauxhall Zafira,6990,41163,2014,,Petrol,MPV,1.8L,Manual,5,7
Peugeot 308,9499,30106,2017,,Petrol,Hatchback,1.2L,Manual,5,5
Honda Jazz,1995,84641,2006,,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Tiguan,15995,60000,2020,1,Petrol,SUV,1.5L,Manual,5,5
Renault Clio,1990,120863,2012,,Petrol,Hatchback,1.1L,Manual,3,5
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Fiat 500,5940,59623,2014,2,Petrol,Hatchback,1.2L,Manual,3,4
Citroen C4 PICASSO,3795,64715,2008,,Diesel,MPV,1.6L,Automatic,5,5
Ford Fiesta,3995,54442,2009,1,Diesel,Hatchback,1.4L,Manual,5,5
Mercedes-Benz S-class,3795,64000,2002,,Diesel,Saloon,3.2L,Automatic,4,4
SEAT Ibiza,7149,22000,2014,,Petrol,Hatchback,1.4L,Manual,3,5
Mercedes-Benz C Class,2890,63000,2003,,Petrol,Coupe,1.8L,Automatic,2,4
BMW 3 Series,5495,177000,2010,4,Diesel,Coupe,3.0L,Manual,2,4
Hyundai i20,4650,66018,2012,2,Petrol,Hatchback,1.2L,Manual,5,5
Land Rover Range Rover Evoque,13993,80000,2013,4,Diesel,SUV,2.2L,Automatic,5,5
Volkswagen Passat,9750,80000,2016,2,Diesel,Saloon,2.0L,Manual,4,5
Volkswagen Polo,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Astra,2995,61038,2007,,Petrol,Hatchback,1.6L,Manual,3,5
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
Volkswagen Golf,11995,78000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5
Peugeot 208,14975,10067,2020,1,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Astra,6000,68000,2015,2,Petrol,Hatchback,1.4L,Manual,5,5
DS Automobiles DS 9,24770,16864,2021,1,Petrol Plug-in Hybrid,Saloon,1.6L,Automatic,4,5
Volkswagen Polo,5190,80786,2010,2,Petrol,Hatchback,1.4L,Manual,5,5
Audi A1,10000,41085,2017,2,Petrol,Hatchback,1.4L,Manual,3,4
Suzuki Alto,2495,77000,2010,,Petrol,Hatchback,1.0L,Manual,5,4
Volkswagen Golf,4725,106408,2012,2,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,6949,34960,2015,1,Petrol,Hatchback,1.2L,Manual,5,5
Lexus SC 430,4195,121000,2001,1,Petrol,Convertible,4.3L,Automatic,2,4
Ford Fiesta,2490,42800,2007,,Petrol,Hatchback,1.2L,Manual,3,5
Fiat 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
Fiat 500,7988,35912,2017,2,Petrol,Hatchback,1.2L,Manual,3,4
Mazda MX-30,13899,13865,2021,,Electric,SUV,,Automatic,5,5
Ford Focus,7499,59300,2016,3,Petrol,Hatchback,1.0L,Manual,5,5
BMW 5 Series,3950,100200,2007,4,Petrol,Saloon,2.5L,Automatic,4,5
Volkswagen Golf,13995,52000,2018,,Petrol,Hatchback,1.4L,Automatic,5,5
SKODA Octavia,4995,197790,2013,4,Diesel,Estate,2.0L,Manual,5,5
Mercedes-Benz CL,10000,90000,2007,3,Petrol,Coupe,5.5L,Automatic,2,4
Volkswagen Golf,3795,62500,2007,1,Petrol,Hatchback,1.6L,Manual,5,5
Audi A1,7950,89484,2012,5,Petrol,Hatchback,1.4L,Automatic,5,5
Volkswagen Polo,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Astra,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Adam,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4
Mercedes-Benz C Class,16880,64806,2016,,Diesel,Coupe,2.1L,Automatic,2,4
Subaru XV,7995,41000,2012,,Petrol,SUV,1.6L,Manual,5,5
KIA Ceed,14450,18150,2020,,Diesel,Hatchback,1.6L,Manual,5,5
